Unnamed: 0,Area,Year,average_rain_fall_mm_per_year,avg_temp,Pesticide (tonnes),Item,hg/ha yield
2101,Nigeria,1996,1150,26.64,22.0,Rice,17498
4765,South Africa,2020,495,14.98,26857.0,"Beans, dry",12921
2647,Nigeria,2005,1150,26.94,24.75,Cocoa beans,3678
1666,Mozambique,2015,1032,21.37,612.8,Wheat,10787
1174,Kenya,1994,630,16.58,3469.0,Wheat,22164
3038,Nigeria,2010,1150,27.49,11.49,"Coffee, green",12063
451,Congo,2007,1646,24.57,3.59,Rice,5789
4579,South Africa,2015,495,21.31,26857.0,Rice,27210
3528,Nigeria,2017,1150,27.12,32.76,"Coffee, green",12983
3455,Nigeria,2016,1150,29.71,47.66,Wheat,10000
3821,South Africa,1993,495,21.32,16582.0,Maize (corn),22840
2378,Nigeria,2000,1150,26.38,62.0,"Coffee, green",12006
1263,Kenya,2002,630,16.61,1578.0,Yams,54886
5090,Tanzania,2016,1071,26.76,1.0,Yams,65378
999,Ghana,2007,1187,27.16,129.93,"Seed cotton, unginned",11000
4581,South Africa,2015,495,21.31,26857.0,Soya beans,15568
4732,South Africa,2019,495,14.98,26857.0,Rice,27983
3975,South Africa,1997,495,15.38,21596.0,Potatoes,282105
192,Angola,2010,1010,24.44,40.0,"Coffee, green",3425
4259,South Africa,2006,495,20.86,26857.0,Wheat,27516
4901,Tanzania,2000,1071,26.18,1.0,Cocoa beans,7000
4546,South Africa,2014,495,21.31,26857.0,Tomatoes,733749
4597,South Africa,2015,495,18.75,26857.0,Rice,27210
5330,Uganda,2010,1180,17.22,88.0,Cocoa beans,3585
4816,Tanzania,1993,1071,26.01,20.0,"Beans, dry",7636
1338,Kenya,2010,630,16.82,1578.0,Tomatoes,291796
4895,Tanzania,1999,1071,26.15,1.0,Soya beans,6759
3648,Nigeria,2019,1150,27.36,22.13,"Coffee, green",12983
4335,South Africa,2008,495,15.75,26857.0,Potatoes,340000
4770,South Africa,2020,495,14.98,26857.0,Soya beans,17667
1293,Kenya,2006,630,16.92,1578.0,Soya beans,8265
4099,South Africa,2000,495,15.13,26857.0,"Beans, dry",10028
4559,South Africa,2014,495,18.75,26857.0,Maize (corn),53009
5265,Uganda,2002,1180,17.11,88.0,"Seed cotton, unginned",3611
3137,Nigeria,2012,1150,26.68,21.37,Cocoa beans,3024
5244,Uganda,2000,1180,16.12,88.0,Rice,15139
368,Congo,1997,1646,24.33,13.24,Maize (corn),7732
1151,Kenya,1992,630,16.34,3469.0,Tomatoes,160128
2124,Nigeria,1996,1150,28.44,22.0,Tomatoes,90278
1869,Nigeria,1993,1150,26.7,62.0,Maize (corn),11848
4950,Tanzania,2005,1071,26.8,1.0,"Coffee, green",4047
5346,Uganda,2011,1180,17.22,88.0,Soya beans,7000
191,Angola,2010,1010,24.44,40.0,Cocoa beans,1321
2022,Nigeria,1995,1150,26.37,62.0,"Seed cotton, unginned",5824
108,Angola,2001,1010,24.43,40.0,"Seed cotton, unginned",13500
4162,South Africa,2002,495,19.28,26857.0,"Beans, dry",13145
3426,Nigeria,2016,1150,27.16,47.66,Yams,91599
3199,Nigeria,2013,1150,27.17,27.94,Maize (corn),14616
1360,Kenya,2012,630,16.84,1578.0,Tomatoes,203375
1626,Mozambique,2011,1032,21.69,768.85,Potatoes,142473
4743,South Africa,2019,495,18.75,26857.0,Soya beans,16021
5290,Uganda,2006,1180,17.22,88.0,Cocoa beans,3542
3033,Nigeria,2010,1150,29.39,11.49,Soya beans,12951
2364,Nigeria,2000,1150,26.75,62.0,Tomatoes,60038
1620,Mozambique,2010,1032,22.1,1189.02,Tomatoes,123333
5154,Uganda,1992,1180,17.93,72.0,Rice,13600
476,Congo,2010,1646,24.9,0.87,Maize (corn),8174
1483,Mozambique,1993,1032,22.04,102.26,"Seed cotton, unginned",6104
4025,South Africa,1998,495,19.42,24304.0,Wheat,25295
312,Congo,1991,1646,24.24,30.0,Cocoa beans,3841
508,Congo,2014,1646,24.41,0.87,Bananas,68894
166,Angola,2007,1010,24.24,40.0,Wheat,10000
2312,Nigeria,1999,1150,26.85,26.0,"Seed cotton, unginned",7412
4398,South Africa,2010,495,21.54,26857.0,Potatoes,342046
2337,Nigeria,1999,1150,26.74,26.0,Cocoa beans,3022
1024,Ghana,2010,1187,27.57,1389.23,Cocoa beans,3950
1221,Kenya,1999,630,16.7,3056.0,"Beans, dry",4742
2605,Nigeria,2004,1150,27.32,26.31,Wheat,10690
1820,Nigeria,1992,1150,25.96,62.0,Potatoes,70192
4898,Tanzania,1999,1071,26.15,1.0,Yams,57576
4385,South Africa,2009,495,18.67,26857.0,Wheat,30475
3279,Nigeria,2014,1150,27.16,34.51,Maize (corn),17002
1832,Nigeria,1992,1150,26.73,62.0,"Seed cotton, unginned",5329
3090,Nigeria,2011,1150,27.35,10.59,Potatoes,34906
4303,South Africa,2007,495,15.9,26857.0,Tomatoes,691859
5352,Uganda,2012,1180,17.22,88.0,Maize (corn),24996
4861,Tanzania,1996,1071,26.02,7.0,Wheat,13957
3649,Nigeria,2019,1150,27.36,22.13,Maize (corn),19255
4004,South Africa,1998,495,21.22,24304.0,"Seed cotton, unginned",10955
4982,Tanzania,2007,1071,26.45,1.0,Yams,56667
152,Angola,2006,1010,24.14,40.0,"Seed cotton, unginned",18200
2153,Nigeria,1997,1150,26.73,34.0,Soya beans,6648
2990,Nigeria,2010,1150,27.56,11.49,Potatoes,38584
5098,Tanzania,2017,1071,26.76,1.0,"Seed cotton, unginned",4844
4511,South Africa,2013,495,21.31,26857.0,Wheat,36993
2025,Nigeria,1995,1150,26.37,62.0,Wheat,21800
5289,Uganda,2006,1180,17.22,88.0,"Beans, dry",4994
4489,South Africa,2012,495,19.14,26857.0,Rice,27273
3382,Nigeria,2015,1150,29.71,41.09,"Seed cotton, unginned",6913
1485,Mozambique,1993,1032,22.04,102.26,Wheat,11613
5239,Uganda,2000,1180,16.12,88.0,"Beans, dry",6009
4517,South Africa,2013,495,14.98,26857.0,"Seed cotton, unginned",20608
2517,Nigeria,2002,1150,26.96,29.44,Cocoa beans,3515
31,Angola,1994,1010,24.04,25.5,"Beans, dry",5192
1225,Kenya,1999,630,16.7,3056.0,Rice,39845
937,Ghana,1999,1187,26.74,114.13,"Seed cotton, unginned",8473
2602,Nigeria,2004,1150,27.32,26.31,"Seed cotton, unginned",7706
752,Ethiopia,2010,848,23.33,4128.1,Rice,30273
1538,Mozambique,2000,1032,21.51,41.43,Rice,9816
309,Angola,2020,1010,24.55,40.0,Wheat,8841
2899,Nigeria,2008,1150,27.18,12.04,Maize (corn),19571
2688,Nigeria,2005,1150,27.16,24.75,"Coffee, green",13597
3686,Nigeria,2020,1150,27.25,22.13,Yams,80724
4390,South Africa,2009,495,15.44,26857.0,Rice,25617
4354,South Africa,2008,495,15.75,26857.0,Rice,25346
495,Congo,2012,1646,24.21,0.87,Potatoes,85947
1405,Kenya,2016,630,16.91,1578.0,Wheat,14022
3593,Nigeria,2018,1150,29.71,17.86,Soya beans,9285
205,Angola,2011,1010,24.15,40.0,Potatoes,81366
1434,Kenya,2019,630,16.91,1578.0,Rice,64255
1135,Kenya,1991,630,16.26,3469.0,Maize (corn),18321
3153,Nigeria,2012,1150,26.87,21.37,Soya beans,9726
4962,Tanzania,2006,1071,26.36,1.0,"Coffee, green",1515
701,Ethiopia,2005,848,23.33,1400.7,Wheat,15567
305,Angola,2020,1010,24.55,40.0,Rice,12375
2323,Nigeria,1999,1150,27.03,26.0,Soya beans,8000
1192,Kenya,1996,630,16.44,6344.0,Rice,40000
4292,South Africa,2007,495,21.07,26857.0,"Seed cotton, unginned",27710
2284,Nigeria,1999,1150,26.85,26.0,Tomatoes,85618
1061,Ghana,2013,1187,27.24,4398.42,Yams,167820
843,Ethiopia,2018,848,23.33,4128.1,Tomatoes,54563
4497,South Africa,2012,495,15.89,26857.0,Potatoes,350438
4279,South Africa,2006,495,15.26,26857.0,"Beans, dry",12254
211,Angola,2012,1010,24.24,40.0,Bananas,258443
1340,Kenya,2010,630,16.82,1578.0,Yams,65645
1108,Ghana,2018,1187,27.24,9689.5,"Seed cotton, unginned",8333
4430,South Africa,2010,495,16.11,26857.0,Wheat,25623
679,Ethiopia,2002,848,23.33,822.67,Wheat,14354
2254,Nigeria,1998,1150,27.53,36.0,Tomatoes,69652
3458,Nigeria,2016,1150,27.12,47.66,"Coffee, green",12936
565,Congo,2020,1646,24.41,0.87,"Coffee, green",3157
1532,Mozambique,1999,1032,22.19,47.83,Tomatoes,93750
4168,South Africa,2002,495,19.28,26857.0,Tomatoes,768463
680,Ethiopia,2002,848,23.33,822.67,Yams,78472
180,Angola,2009,1010,24.33,40.0,Cocoa beans,1275
4457,South Africa,2011,495,18.75,26857.0,Wheat,33157
1657,Mozambique,2014,1032,21.37,651.82,Wheat,10900
2741,Nigeria,2006,1150,27.53,21.12,Rice,14833
4644,South Africa,2016,495,15.89,26857.0,Soya beans,14757
278,Angola,2018,1010,24.55,40.0,"Beans, dry",4456
4930,Tanzania,2002,1071,26.36,1.0,"Seed cotton, unginned",3788
3245,Nigeria,2013,1150,29.71,27.94,Wheat,10000
1204,Kenya,1997,630,16.77,5172.0,"Seed cotton, unginned",5843
1747,Nigeria,1991,1150,26.43,62.0,Cocoa beans,3691
432,Congo,2005,1646,24.71,5.52,Potatoes,76786
289,Angola,2019,1010,24.55,40.0,"Beans, dry",4843
1027,Ghana,2010,1187,27.57,1389.23,Rice,27126
535,Congo,2017,1646,24.41,0.87,Bananas,70092
4060,South Africa,1999,495,19.27,26098.8,Tomatoes,319146
1187,Kenya,1996,630,16.44,6344.0,Bananas,97649
188,Angola,2009,1010,24.33,40.0,Wheat,10000
5345,Uganda,2011,1180,17.22,88.0,"Seed cotton, unginned",9025
5283,Uganda,2005,1180,15.23,88.0,Potatoes,68023
2877,Nigeria,2008,1150,27.3,12.04,Cocoa beans,2720
3628,Nigeria,2019,1150,27.16,22.13,"Coffee, green",12983
706,Ethiopia,2006,848,23.33,2603.1,Maize (corn),26404
4578,South Africa,2015,495,21.31,26857.0,Potatoes,358127
270,Angola,2017,1010,24.55,40.0,Maize (corn),8935
2856,Nigeria,2008,1150,27.07,12.04,Yams,114998
4446,South Africa,2011,495,15.49,26857.0,Soya beans,16986
2810,Nigeria,2007,1150,27.46,30.57,Potatoes,24610
4229,South Africa,2005,495,16.29,26857.0,"Seed cotton, unginned",24863
111,Angola,2001,1010,24.43,40.0,Wheat,16667
1170,Kenya,1994,630,16.58,3469.0,Rice,43559
1391,Kenya,2015,630,16.91,1578.0,"Seed cotton, unginned",5493
2314,Nigeria,1999,1150,26.85,26.0,Tomatoes,85618
220,Angola,2012,1010,24.24,40.0,Tomatoes,26829
1533,Mozambique,1999,1032,22.19,47.83,Wheat,11372
627,Ethiopia,1998,848,25.41,383.0,"Beans, dry",7759
1835,Nigeria,1992,1150,26.73,62.0,Wheat,13333
2689,Nigeria,2005,1150,27.16,24.75,Maize (corn),16598
